symbol,avg_volume,avg_value,data_days
HBC,1470486.6666666667,9608062.0,785
VVS,154526.66666666666,9537899.0,785
CMG,255346.66666666666,9410295.833333334,785
PVI,101293.33333333333,9286844.666666666,785
CRC,912650.0,8560937.333333334,785
KSV,69000.0,8377332.333333333,785
PAC,338770.0,8097565.666666667,785
SBS,1324963.3333333333,8037182.666666667,785
DHC,241023.33333333334,8017435.833333333,785
SHI,519683.3333333333,7995895.5,785
PAT,92538.53333333334,7853748.070333335,785
EVG,910863.3333333334,7835806.3,785
DSE,297186.6666666667,7736896.5,376
TV2,217351.53333333333,7718936.617,785
VGT,596266.6666666666,7537609.333333333,785
OIL,680626.6666666666,7281436.333333333,785
BCR,3874913.3333333335,7220827.0,393
KLB,435880.0,7112876.0,785
HII,978480.0,7026761.5,785
C69,508403.3333333333,6900762.333333333,785
DHA,112586.66666666667,6859371.0,785
SBG,435153.3333333333,6563053.333333333,517
HSL,769450.0,6515076.2,785
BMI,340840.0,6302683.0,785
CTI,272033.3333333333,6283678.166666667,785
HPX,1337896.6666666667,6253739.466666667,785
DRI,486300.0,6223386.333333333,785
PVC,563786.6666666666,6123924.666666667,785
CTF,307013.3333333333,6026604.333333333,785
TIG,723906.6666666666,5777275.0,785
TRC,71946.66666666667,5570166.333333333,785
POM,1911230.0,5471353.666666667,785
DLG,1947230.0,5381033.5,785
TOS,34756.666666666664,4976932.0,785
NRC,786130.0,4902573.666666667,785
NNC,77950.0,4766505.333333333,785
AGG,308060.0,4694964.333333333,785
BWE,102670.0,4665528.333333333,785
FOX,72710.0,4586844.0,785
BVS,146661.2,4573903.083333333,785
MML,123700.0,4532477.0,785
BFC,99610.0,4368455.333333333,785
DL1,750469.0666666667,4366431.163000001,785
QNS,97670.0,4348893.666666667,785
ITA,1440833.3333333333,4348619.733333333,785
DC4,385906.6666666667,4330678.833333333,785
HT1,275926.6666666667,4265421.166666667,785
CSM,319486.6666666667,4246171.5,785
TDP,158991.33333333334,4224539.493333333,785
HAX,391360.0,4190603.6666666665,785
AFX,322413.3333333333,4088964.6666666665,785
PVB,135930.0,4070576.0,785
BIC,179426.66666666666,4033160.1666666665,785
SGP,145046.66666666666,3995931.6666666665,785
VLB,75750.0,3907895.0,785
SMC,286926.6666666667,3888088.6666666665,785
PVX,2098856.6666666665,3870989.0,785
PTB,85762.0,3798148.915,785
GEG,259446.66666666666,3741224.5,785
IMP,74796.66666666667,3640516.1666666665,785
SGR,191866.66666666666,3634189.0,785
TC6,332256.6666666667,3579520.0,785
VNP,171610.0,3549990.3333333335,785
PSD,217363.33333333334,3529224.3333333335,785
VAB,325053.3333333333,3520132.3333333335,785
VCS,77629.6,3494539.412,785
APH,515690.0,3469057.7666666666,785
APS,459316.6666666667,3454142.6666666665,785
DTD,194386.66666666666,3445733.3333333335,785
PPT,224190.0,3391968.3333333335,785
LGL,560346.6666666666,3372794.1333333333,785
L40,36551.6,3331543.609,785
TDN,301031.86666666664,3331056.52,785
ANT,79000.0,3266630.6666666665,785
IDI,425863.3333333333,3097861.066666667,785
RYG,293710.0,3096986.1666666665,250
PLP,423480.0,3047343.433333333,785
CTP,293993.3333333333,3042980.0,785
TSC,939953.3333333334,3000887.033333333,785
AAH,819226.6666666666,3000775.3333333335,489
G36,338124.36666666664,3000599.15,785
NHA,164858.83333333334,2931095.4669999997,785
VEC,51803.333333333336,2922683.0,785
STH,137883.33333333334,2902389.3333333335,785
DRC,190550.0,2890668.6666666665,785
VTV,199473.33333333334,2860549.3333333335,785
HVH,206230.0,2859100.1666666665,785
AAV,407536.6666666667,2783063.0,785
IDJ,527576.6666666666,2776931.3333333335,785
LAS,169213.33333333334,2770912.3333333335,785
LSG,81966.66666666667,2678885.6666666665,785
LTG,344123.3333333333,2673082.0,785
BOT,1138323.3333333333,2669913.3333333335,785
PLC,104806.66666666667,2657531.0,785
DXP,244143.33333333334,2657488.0,785
AMV,1442853.3333333333,2617206.3333333335,785
TCD,1100053.3333333333,2605752.2,785
OGC,645300.0,2584512.533333333,785
IPA,136193.33333333334,2533987.0,785
ASM,365653.3333333333,2514459.533333333,785
ABC,184146.66666666666,2509526.6666666665,785
HNM,297636.6666666667,2405075.6666666665,785
APG,222796.66666666666,2385742.5,785
DBD,48086.666666666664,2372418.1666666665,785
LBM,65186.666666666664,2344743.6410000003,785
PHP,69376.66666666667,2324417.3333333335,785
MIG,133430.0,2301852.1666666665,785
LHG,76623.33333333333,2289939.8333333335,785
TTN,127683.33333333333,2265928.0,785
MVC,133270.0,2246334.3333333335,785
TNH,187270.0,2216339.3333333335,785
NTC,14003.333333333334,2205666.0,785
ITC,151576.66666666666,2181554.5,785
TVS,134563.33333333334,2166774.1666666665,785
FIR,272766.6666666667,2158601.3,785
ABW,189586.66666666666,2152954.0,648
ILB,91326.66666666667,2108798.0,785
LHC,17866.666666666668,2055604.0,785
KDM,89323.33333333333,2052012.0,785
NHH,169240.0,2048240.8333333333,785
PPC,201406.1,2015089.2583333333,785
PVP,139524.93333333332,2006672.22,785
PIV,401993.3333333333,1984482.3333333333,785
GIL,133086.66666666666,1940366.8333333333,785
BCA,133096.66666666666,1928701.3333333333,785
L14,62856.666666666664,1922660.0,785
KSF,26143.333333333332,1920388.0,785
VTO,164983.33333333334,1910033.5,785
ITD,115380.0,1879119.5,785
NDN,164883.33333333334,1877680.3333333333,785
CTX,175330.0,1875764.6666666667,785
ICT,91043.33333333333,1870375.6666666667,785
PCH,97530.0,1850057.3333333333,785
SJE,94406.66666666667,1803782.3333333333,785
AVG,162690.0,1777820.0,347
VEF,13323.333333333334,1765207.6666666667,785
VC7,169590.0,1761437.0,785
NVB,127140.0,1758547.0,785
GDA,104233.33333333333,1753040.0,578
TDC,148510.0,1752630.1666666667,785
TLD,210446.66666666666,1736109.5,785
CMN,23846.666666666668,1729639.6666666667,785
NCT,18043.766666666666,1702044.1800000002,785
QTP,133576.66666666666,1699162.6666666667,785
BIG,270206.6666666667,1683043.0,785
DVM,263250.0,1680903.6666666667,785
TCI,167733.33333333334,1630705.5333333334,785
TVN,211763.33333333334,1630590.0,785
GKM,492123.3333333333,1604664.6666666667,785
BNA,207500.0,1601850.6666666667,785
SEA,37266.666666666664,1573692.6666666667,785
DHG,15276.666666666666,1564612.0,785
SCG,23593.333333333332,1546414.6666666667,785
AIG,31833.333333333332,1542654.6666666667,279
PXL,94510.0,1521776.6666666667,785
PSH,628613.3333333334,1518211.7,785
HTN,163356.66666666666,1497237.6,785
VNB,82790.0,1496041.0,785
SAM,200456.66666666666,1495927.2666666666,785
ABS,427460.0,1487320.9,785
VTB,70686.66666666667,1418926.0,785
HRT,95770.0,1415278.3333333333,785
TCO,150716.66666666666,1414056.0666666667,785
VC2,222255.8,1411235.2589999996,785
SJS,24136.666666666668,1410137.6666666667,785
VRC,98426.66666666667,1402155.0,785
VIP,110140.0,1371546.3333333333,785
DFF,1413226.6666666667,1344317.0,785
GCF,45023.066666666666,1334260.1883333332,754
DVN,61943.333333333336,1322160.3333333333,785
MHC,101916.66666666667,1317996.5,785
ATG,172493.33333333334,1306754.3333333333,785
IDP,6153.333333333333,1295908.3333333333,785
SRA,398336.6666666667,1270368.3333333333,785
THG,27600.0,1269698.7596666666,785
CET,113823.33333333333,1265622.3333333333,785
API,177803.33333333334,1264598.3333333333,785
TAR,239223.33333333334,1252931.3333333333,785
VHE,304070.0,1252289.6666666667,785
ACG,35427.566666666666,1250660.98,785
VMS,46720.0,1250124.0,785
NAG,149800.0,1248580.3333333333,785
HBS,173220.0,1242320.3333333333,785
BTV,97230.0,1227299.0,785
HLB,3278.1666666666665,1215413.5850000002,785
VLC,84630.0,1186952.3333333333,785
LSS,122476.66666666667,1163916.2333333334,785
CAV,16045.866666666667,1135433.7033333334,785
LIG,255793.33333333334,1126847.3333333333,785
BMS,87350.0,1122472.3333333333,785
D2D,31800.0,1120494.0,785
VPG,190033.33333333334,1109445.0,785
DRH,460396.6666666667,1107642.7666666666,785
TL4,111703.33333333333,1082691.6666666667,785
HTP,621046.6666666666,1056490.0,785
VGR,15846.733333333334,1055150.8613333334,785
HGM,4260.866666666667,1055004.5339999998,785
VDP,21190.0,1049357.1666666667,785
HLC,65013.333333333336,1049143.6666666667,785
TTA,98350.73333333334,1043758.032,785
CLX,65006.666666666664,1032067.0,785
PSI,125633.33333333333,1012692.3333333334,785
SRT,80896.66666666667,1007088.6666666666,785
PBC,148696.66666666666,992784.6666666666,785
MPC,58563.833333333336,979679.6599999999,785
DGT,204600.0,974631.3333333334,785
GTD,14490.0,968418.0,785
CHP,32626.6,966918.605,785
BCE,88431.53333333334,964349.1683333333,785
PDB,35096.666666666664,961179.6666666666,785
JVC,141023.33333333334,952741.7,785
DDG,518633.3333333333,924823.6666666666,785
FMC,25380.0,914637.0,785
HAP,116106.66666666667,898721.8666666667,785
AMS,115780.0,893654.3333333334,785
TMT,66160.0,893188.7,785
RDP,527900.0,884771.8333333334,785
PVL,270953.3333333333,872131.0,785
DVP,12666.666666666666,863342.3333333334,785
DNA,29100.0,858657.3333333334,785
CCC,60782.5,836235.0333333333,349
AGM,252616.66666666666,835900.0,785
NBB,42180.0,834815.1666666666,785
ODE,18010.0,830121.6666666666,785
CIG,91946.66666666667,823672.4,785
FID,438946.6666666667,818231.0,785
TPC,59646.666666666664,805345.1666666666,785
EVS,131030.0,801461.0,785
